"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Variável"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Quantidade produzida (Toneladas)";"Valor da produção (Mil Reais)"
"Rondônia";"2009";"Pêssego";"-";"-"
"Rondônia";"2009";"Pimenta-do-reino";"109";"359"
"Rondônia";"2009";"Rami (fibra)";"-";"-"
"Rondônia";"2009";"Sisal ou agave (fibra)";"-";"-"
"Rondônia";"2009";"Soja (em grão)";"356836";"224803"
"Rondônia";"2009";"Sorgo (em grão)";"-";"-"
"Rondônia";"2009";"Tangerina";"433";"162"
"Rondônia";"2009";"Tomate";"4702";"2230"
"Rondônia";"2009";"Trigo (em grão)";"-";"-"
"Rondônia";"2009";"Triticale (em grão)";"-";"-"
"Rondônia";"2009";"Tungue (fruto seco)";"-";"-"
"Rondônia";"2009";"Urucum (semente)";"2896";"6251"
"Rondônia";"2009";"Uva";"229";"234"
"Rondônia";"2010";"Abacate";"89";"131"
"Rondônia";"2010";"Abacaxi*";"4811";"4071"
"Rondônia";"2010";"Açaí";"...";"..."
"Rondônia";"2010";"Alfafa fenada";"...";"..."
"Rondônia";"2010";"Algodão arbóreo (em caroço)";"-";"-"
"Rondônia";"2010";"Algodão herbáceo (em caroço)";"-";"-"
"Rondônia";"2010";"Alho";"-";"-"
"Rondônia";"2010";"Amendoim (em casca)";"42";"80"
"Rondônia";"2010";"Arroz (em casca)";"164701";"89876"
"Rondônia";"2010";"Aveia (em grão)";"-";"-"
"Rondônia";"2010";"Azeitona";"-";"-"
"Rondônia";"2010";"Banana (cacho)";"53037";"34876"
"Rondônia";"2010";"Batata-doce";"-";"-"
"Rondônia";"2010";"Batata-inglesa";"-";"-"
"Rondônia";"2010";"Borracha (látex coagulado)";"51";"99"
"Rondônia";"2010";"Borracha (látex líquido)";"...";"..."
"Rondônia";"2010";"Cacau (em amêndoa)";"17486";"96230"
"Rondônia";"2010";"Café (em grão) Total";"141160";"317417"
"Rondônia";"2010";"Café (em grão) Arábica";"...";"..."
"Rondônia";"2010";"Café (em grão) Canephora";"...";"..."
"Rondônia";"2010";"Caju";"...";"..."
"Rondônia";"2010";"Cana-de-açúcar";"233527";"9194"
"Rondônia";"2010";"Cana para forragem";"...";"..."
"Rondônia";"2010";"Caqui";"-";"-"
"Rondônia";"2010";"Castanha de caju";"-";"-"
"Rondônia";"2010";"Cebola";"-";"-"
"Rondônia";"2010";"Centeio (em grão)";"-";"-"
"Rondônia";"2010";"Cevada (em grão)";"-";"-"
